Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2024-01-16,63.65,64.0,62.92,63.0,19511800,60.41,61.18,57.74,1.21,0.06,65.29,403105800.0,1.62,86.33
2024-01-17,63.12,63.42,61.68,62.95,19971600,60.88,61.24,58.07,1.25,0.08,62.38,383134200.0,1.64,79.26
2024-01-18,64.88,65.0,63.38,64.0,24149900,61.54,61.4,58.42,1.41,0.19,67.56,407284100.0,1.66,86.2
2024-01-19,65.11,65.39,64.41,64.9,20332900,62.27,61.55,58.76,1.53,0.25,68.18,427617000.0,1.61,90.57
2024-01-22,64.55,65.61,64.15,65.44,17851700,62.97,61.74,59.05,1.57,0.23,64.94,409765300.0,1.6,94.15
2024-01-23,64.32,64.81,63.69,64.5,13619600,63.5,61.89,59.35,1.56,0.18,63.6,396145700.0,1.57,89.54
2024-01-24,63.76,64.4,63.22,64.0,17238100,63.85,61.99,59.62,1.49,0.09,60.35,378907600.0,1.54,83.31
2024-01-25,66.0,66.03,63.71,64.28,21963000,64.21,62.19,59.91,1.6,0.16,67.51,400870600.0,1.59,87.41
2024-01-26,65.52,66.04,65.29,65.65,13099600,64.41,62.3,60.17,1.63,0.15,64.81,387771000.0,1.53,90.4
2024-01-29,66.98,67.1,65.56,65.6,15902000,64.79,62.49,60.44,1.75,0.21,68.89,403673000.0,1.54,97.29
2024-01-30,66.84,67.69,66.22,66.9,17562100,65.11,62.76,60.7,1.81,0.22,68.07,386110900.0,1.53,93.58
2024-01-31,65.27,66.25,64.85,65.7,17026400,65.32,63.1,60.91,1.71,0.1,59.56,369084500.0,1.57,82.29
2024-02-01,66.73,66.85,65.59,66.12,12504200,65.51,63.52,61.16,1.73,0.1,64.06,381588700.0,1.57,77.43
2024-02-02,68.07,68.25,66.51,66.98,18642700,65.8,64.04,61.43,1.84,0.16,67.62,400231400.0,1.58,80.34
2024-02-05,68.99,69.99,67.86,68.24,26079500,66.25,64.61,61.71,1.97,0.24,69.83,426310900.0,1.62,89.75
2024-02-06,70.47,70.68,68.44,69.06,34464000,66.86,65.18,62.01,2.17,0.35,73.02,460774900.0,1.66,94.14
2024-02-07,70.65,71.9,67.24,67.6,43367000,67.55,65.7,62.32,2.32,0.4,73.39,504141900.0,1.88,90.25
2024-02-08,71.61,73.05,71.19,71.93,21618200,68.11,66.16,62.63,2.48,0.45,75.33,525760100.0,1.91,89.38
2024-02-09,70.91,72.04,69.69,71.43,20858700,68.65,66.53,62.92,2.53,0.4,71.26,504901400.0,1.95,83.06
2024-02-12,69.12,71.38,68.74,71.0,19554900,68.87,66.83,63.18,2.39,0.21,62.03,485346500.0,2.0,74.53
2024-02-13,68.99,69.55,66.71,67.89,22857100,69.08,67.09,63.43,2.25,0.05,61.4,462489400.0,2.06,64.93
2024-02-14,79.15,79.2,74.31,74.6,69846700,70.47,67.9,63.87,2.92,0.58,79.07,532336100.0,2.64,72.07
2024-02-15,81.39,81.86,78.28,79.0,40330200,71.94,68.72,64.32,3.59,1.0,81.12,572666300.0,2.71,84.46
2024-02-16,78.41,80.88,78.11,80.55,24442600,72.97,69.39,64.73,3.84,1.0,71.13,548223700.0,2.75,92.19
2024-02-20,76.6,78.42,75.82,78.23,24203100,73.73,69.99,65.07,3.85,0.8,65.83,524020600.0,2.74,81.99
2024-02-21,76.44,77.49,75.88,76.32,15102100,74.33,70.6,65.38,3.79,0.6,65.37,508918500.0,2.66,71.81
2024-02-22,78.03,79.72,77.51,79.59,16766400,75.07,71.31,65.7,3.84,0.51,67.79,525684900.0,2.7,70.25
2024-02-23,78.2,78.97,77.72,78.5,15648800,75.72,71.92,66.02,3.84,0.41,68.05,541333700.0,2.6,72.5
2024-02-26,78.36,78.5,77.3,78.28,16617300,76.47,72.56,66.33,3.81,0.31,68.31,557951000.0,2.5,75.9
2024-02-27,78.75,79.75,77.81,78.64,13707300,77.43,73.15,66.67,3.78,0.22,68.97,571658300.0,2.46,77.38
2024-02-28,77.73,78.66,77.42,78.6,11853100,78.31,73.69,66.97,3.63,0.05,65.17,559805200.0,2.38,76.34
2024-02-29,79.5,79.68,77.93,78.35,19405500,78.34,74.41,67.32,3.61,0.03,68.42,579210700.0,2.35,78.85
2024-03-01,81.03,81.47,79.32,79.5,18520800,78.31,75.12,67.71,3.67,0.08,70.94,597731500.0,2.33,83.87
2024-03-04,81.3,82.14,80.79,81.94,15989200,78.59,75.78,68.09,3.7,0.09,71.38,613720700.0,2.26,91.15
2024-03-05,79.09,80.85,77.43,80.83,19761600,78.84,76.29,68.46,3.51,-0.09,63.06,593959100.0,2.38,83.36
2024-03-06,78.64,80.99,78.53,80.17,13734700,79.06,76.7,68.8,3.28,-0.25,61.49,580224400.0,2.38,66.74
2024-03-07,79.41,80.07,78.26,79.4,13873300,79.2,77.13,69.16,3.13,-0.32,63.18,594097700.0,2.34,54.16
2024-03-08,78.7,81.98,78.21,79.94,16409100,79.25,77.49,69.49,2.92,-0.43,60.54,577688600.0,2.44,49.0
2024-03-11,77.47,78.89,76.53,78.7,13781400,79.16,77.82,69.78,2.62,-0.58,56.16,563907200.0,2.44,42.61
2024-03-12,78.32,78.48,77.48,78.01,11303800,79.12,78.28,70.08,2.42,-0.62,58.4,575211000.0,2.34,34.31
2024-03-13,78.25,79.69,77.93,78.0,12065100,79.17,78.74,70.41,2.23,-0.65,58.14,563145900.0,2.3,29.34
2024-03-14,77.65,78.48,76.9,78.34,12737200,78.99,78.66,70.8,2.02,-0.69,55.81,550408700.0,2.24,27.51
