Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-11-01,9.08,9.23,8.92,9.17,4146000,9.09,9.34,9.95,-0.26,0.02,41.3,79865600.0,0.32,22.82
2023-11-02,9.48,9.51,9.19,9.19,7793500,9.14,9.33,9.93,-0.21,0.05,50.6,87659100.0,0.32,44.14
2023-11-03,9.69,9.79,9.56,9.66,8830900,9.2,9.31,9.91,-0.16,0.08,54.66,96490000.0,0.32,64.3
2023-11-06,9.59,9.82,9.52,9.78,4896600,9.24,9.3,9.9,-0.12,0.1,52.45,91593400.0,0.32,80.94
2023-11-07,9.76,9.85,9.59,9.61,13420500,9.28,9.29,9.88,-0.08,0.11,55.73,105013900.0,0.32,84.93
2023-11-08,8.36,8.9,8.28,8.78,27080200,9.22,9.22,9.83,-0.16,0.03,34.63,77933700.0,0.4,57.1
2023-11-09,7.93,8.62,7.92,8.54,15764200,9.1,9.15,9.76,-0.25,-0.05,30.73,62169500.0,0.42,32.19
2023-11-10,8.23,8.3,7.99,8.0,10981400,9.03,9.1,9.71,-0.3,-0.08,36.08,73150900.0,0.42,7.33
2023-11-13,8.31,8.41,8.13,8.16,7994900,8.96,9.05,9.65,-0.32,-0.08,37.47,81145800.0,0.41,12.26
2023-11-14,8.5,8.71,8.45,8.55,10708700,8.89,9.0,9.61,-0.33,-0.07,40.76,91854500.0,0.41,22.11
2023-11-15,8.33,8.61,8.31,8.57,11201200,8.82,8.96,9.56,-0.34,-0.06,38.79,80653300.0,0.4,23.83
2023-11-16,7.94,8.29,7.91,8.28,13541300,8.66,8.9,9.5,-0.37,-0.08,34.66,67112000.0,0.4,17.61
2023-11-17,8.1,8.14,7.93,7.98,9142200,8.51,8.85,9.45,-0.38,-0.07,37.6,76254200.0,0.39,10.86
2023-11-20,8.13,8.27,7.99,8.1,13184600,8.36,8.8,9.4,-0.39,-0.06,38.16,89438800.0,0.38,7.56
2023-11-21,7.98,8.13,7.96,8.06,7764100,8.18,8.73,9.34,-0.4,-0.06,36.39,81674700.0,0.37,8.25
2023-11-22,8.22,8.26,7.98,8.03,8522800,8.17,8.69,9.29,-0.38,-0.03,41.08,90197500.0,0.36,10.31
2023-11-24,8.29,8.3,8.13,8.2,3613000,8.2,8.65,9.25,-0.36,-0.01,42.42,93810500.0,0.35,13.06
2023-11-27,8.39,8.46,8.21,8.27,7071300,8.22,8.63,9.2,-0.33,0.02,44.35,100881800.0,0.34,20.1
2023-11-28,8.64,8.65,8.35,8.38,10075600,8.25,8.6,9.16,-0.28,0.05,48.98,110957400.0,0.34,39.36
2023-11-29,8.92,9.18,8.77,8.84,13982600,8.29,8.59,9.13,-0.22,0.09,53.62,124940000.0,0.35,59.34
2023-11-30,8.8,9.2,8.69,9.19,15221700,8.34,8.58,9.1,-0.18,0.11,51.46,109718300.0,0.36,74.09
2023-12-01,9.32,9.39,8.82,8.82,16279500,8.48,8.57,9.09,-0.1,0.15,59.15,125997800.0,0.38,81.26
2023-12-04,9.55,9.73,9.33,9.46,18297500,8.62,8.56,9.09,-0.02,0.18,62.02,144295300.0,0.38,84.71
2023-12-05,10.53,10.64,9.66,9.79,38892500,8.86,8.61,9.11,0.12,0.26,71.27,183187800.0,0.43,93.71
2023-12-06,11.27,11.65,10.73,10.88,51461800,9.19,8.69,9.14,0.29,0.34,76.02,234649600.0,0.48,91.9
2023-12-07,11.48,11.7,10.81,11.07,26167900,9.52,8.84,9.18,0.43,0.39,77.17,260817500.0,0.51,93.34
2023-12-08,11.73,11.74,11.02,11.23,23141200,9.86,9.03,9.22,0.56,0.41,78.5,283958700.0,0.52,94.58
2023-12-11,11.71,11.79,11.32,11.55,18603200,10.19,9.21,9.26,0.65,0.4,78.1,265355500.0,0.52,97.27
2023-12-12,11.63,11.9,11.54,11.77,13394300,10.49,9.37,9.3,0.71,0.37,76.46,251961200.0,0.51,96.92
2023-12-13,11.99,12.02,11.12,11.63,24506100,10.8,9.55,9.35,0.78,0.35,78.64,276467300.0,0.54,96.75
2023-12-14,12.09,12.39,11.79,12.35,22749700,11.13,9.74,9.39,0.83,0.32,79.21,299217000.0,0.54,95.05
2023-12-15,11.69,12.02,11.52,12.01,16406900,11.37,9.92,9.43,0.83,0.26,70.99,282810100.0,0.54,91.58
2023-12-18,11.93,11.98,11.44,11.55,14413000,11.6,10.11,9.47,0.84,0.21,72.81,297223100.0,0.54,87.7
2023-12-19,13.17,13.19,12.04,12.06,31841800,11.87,10.37,9.54,0.93,0.25,79.86,329064900.0,0.59,89.94
2023-12-20,12.62,13.45,12.59,13.32,32610100,12.0,10.6,9.59,0.96,0.21,71.06,296454800.0,0.61,89.73
2023-12-21,12.89,13.06,12.51,12.81,14515400,12.14,10.83,9.65,0.98,0.19,72.66,310970200.0,0.61,89.35
2023-12-22,12.95,13.15,12.8,13.01,10525400,12.27,11.07,9.73,1.0,0.17,73.01,321495600.0,0.59,85.1
2023-12-26,12.94,13.14,12.86,13.0,8151100,12.39,11.29,9.8,1.0,0.13,72.84,313344500.0,0.57,84.82
2023-12-27,13.26,13.51,12.91,13.03,16095200,12.55,11.52,9.88,1.01,0.12,74.86,329439700.0,0.57,86.27
2023-12-28,13.18,13.28,13.06,13.11,8604400,12.67,11.74,9.95,1.0,0.09,73.39,320835300.0,0.55,86.25
2023-12-29,12.74,13.17,12.52,13.16,14494100,12.74,11.93,10.02,0.95,0.03,65.76,306341200.0,0.55,81.76
2024-01-02,12.37,12.75,12.28,12.74,11659200,12.81,12.09,10.09,0.87,-0.04,60.1,294682000.0,0.55,68.94
2024-01-03,11.79,11.97,11.55,11.68,13694100,12.79,12.2,10.14,0.75,-0.13,52.47,280987900.0,0.57,49.37
2024-01-04,11.98,12.17,11.63,11.65,9611900,12.67,12.27,10.2,0.66,-0.17,54.51,290599800.0,0.57,35.47
2024-01-05,11.89,12.16,11.77,11.82,8179700,12.6,12.3,10.25,0.58,-0.21,53.34,282420100.0,0.55,25.29
2024-01-08,12.42,12.58,11.96,11.97,17238700,12.55,12.35,10.32,0.55,-0.19,58.92,299658800.0,0.56,31.72
2024-01-09,12.2,12.35,12.14,12.25,7344300,12.48,12.37,10.38,0.5,-0.19,55.93,292314500.0,0.54,34.08
2024-01-10,12.14,12.35,11.78,12.18,8569200,12.4,12.39,10.45,0.46,-0.19,55.11,283745300.0,0.54,36.87
2024-01-11,11.71,12.58,11.63,12.53,13483000,12.24,12.4,10.5,0.38,-0.21,49.5,270262300.0,0.57,23.81
2024-01-12,11.02,11.56,10.99,11.5,16476400,12.03,12.35,10.54,0.26,-0.26,42.11,253785900.0,0.58,13.15
2024-01-16,10.93,11.03,10.62,10.92,9399000,11.85,12.29,10.57,0.16,-0.29,41.24,244386900.0,0.57,6.69
2024-01-17,10.65,10.74,10.52,10.71,8611600,11.67,12.24,10.6,0.05,-0.32,38.58,235775300.0,0.56,5.42
2024-01-18,10.67,10.82,10.53,10.76,8032200,11.56,12.18,10.62,-0.03,-0.32,38.88,243807500.0,0.54,6.84
2024-01-19,10.71,10.75,10.38,10.68,7969100,11.43,12.05,10.64,-0.09,-0.31,39.53,251776600.0,0.53,7.2
2024-01-22,10.99,11.17,10.81,10.81,9454000,11.34,11.97,10.66,-0.11,-0.26,43.97,261230600.0,0.52,14.33
2024-01-23,10.95,11.3,10.87,11.16,6929500,11.2,11.87,10.72,-0.13,-0.23,43.48,254301100.0,0.52,21.16
2024-01-24,10.81,11.23,10.73,11.1,6848000,11.06,11.77,10.77,-0.16,-0.2,41.72,247453100.0,0.52,23.73
2024-01-25,10.7,10.9,10.62,10.85,5299900,10.91,11.66,10.82,-0.19,-0.18,40.34,242153200.0,0.5,20.0
2024-01-26,10.79,11.01,10.71,10.76,4742100,10.82,11.53,10.87,-0.2,-0.16,42.03,246895300.0,0.48,17.58
2024-01-29,11.31,11.33,10.76,10.83,10871000,10.85,11.44,10.93,-0.17,-0.1,50.71,257766300.0,0.49,25.15
2024-01-30,11.01,11.28,10.95,11.23,7035500,10.86,11.35,10.98,-0.16,-0.07,46.39,250730800.0,0.48,29.85
2024-01-31,10.74,11.17,10.7,10.94,7341400,10.87,11.27,11.04,-0.18,-0.07,42.86,243389400.0,0.48,29.09
2024-02-01,10.91,10.94,10.61,10.79,5807500,10.89,11.23,11.09,-0.17,-0.06,45.67,249196900.0,0.47,29.97
2024-02-02,10.92,11.02,10.65,10.75,7388300,10.91,11.17,11.15,-0.17,-0.04,45.84,256585200.0,0.46,39.37
2024-02-05,10.56,10.88,10.51,10.82,7633200,10.87,11.11,11.2,-0.19,-0.05,40.91,248952000.0,0.46,40.23
2024-02-06,10.78,10.8,10.53,10.57,5098200,10.85,11.03,11.25,-0.19,-0.04,44.81,254050200.0,0.45,39.3
2024-02-07,11.0,11.08,10.64,10.84,7559200,10.87,10.97,11.31,-0.17,-0.01,48.48,261609400.0,0.45,42.11
