Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-09-01,138.12,139.96,136.88,139.46,40948300,134.88,136.31,132.88,0.88,0.04,58.33,585401300.0,3.16,60.62
2023-09-05,137.27,137.8,135.82,137.73,40636700,135.14,136.07,133.04,0.95,0.09,56.07,544764600.0,3.1,70.41
2023-09-06,135.36,137.45,134.61,136.32,41785500,135.25,135.84,133.2,0.84,-0.01,51.27,502979100.0,3.08,64.25
2023-09-07,137.85,138.03,133.16,133.9,48498900,135.48,135.84,133.38,0.95,0.07,56.5,551478000.0,3.21,66.6
2023-09-08,138.23,138.85,136.75,136.86,38348200,136.12,135.82,133.56,1.05,0.14,57.25,589826200.0,3.13,70.01
2023-09-11,143.1,143.62,138.64,138.75,56764500,137.11,136.06,133.86,1.51,0.48,65.51,646590700.0,3.29,85.02
2023-09-12,141.23,143.0,140.61,142.32,42668500,137.92,136.09,134.08,1.7,0.54,60.67,603922200.0,3.23,86.41
2023-09-13,144.85,144.98,140.87,140.95,60465200,138.91,136.45,134.37,2.12,0.76,65.92,664387400.0,3.29,92.26
2023-09-14,144.72,145.86,142.95,145.08,64033600,139.87,136.93,134.66,2.41,0.85,65.58,600353800.0,3.27,91.1
2023-09-15,140.39,143.57,140.09,142.69,102861700,140.11,137.25,134.9,2.27,0.56,55.37,497492100.0,3.36,84.2
2023-09-18,139.98,141.75,139.22,140.48,42823500,140.3,137.59,135.11,2.1,0.31,54.51,454668600.0,3.3,69.07
2023-09-19,137.63,138.84,135.56,138.7,61482500,140.33,137.74,135.32,1.76,-0.02,49.71,393186100.0,3.38,49.95
2023-09-20,135.29,139.37,135.2,138.55,46263700,140.33,137.79,135.45,1.28,-0.4,45.43,346922400.0,3.44,35.22
2023-09-21,129.33,132.24,129.31,131.94,70234800,139.48,137.48,135.42,0.42,-1.01,36.74,276687600.0,3.62,17.36
2023-09-22,129.12,132.03,128.52,131.11,59904300,138.56,137.34,135.31,-0.28,-1.37,36.48,216783300.0,3.62,6.78
2023-09-25,131.27,131.78,128.77,129.36,46017800,137.38,137.24,135.24,-0.65,-1.39,41.15,262801100.0,3.57,6.48
2023-09-26,125.98,130.39,125.28,130.12,73048200,135.86,136.89,135.09,-1.36,-1.68,34.44,189752900.0,3.74,7.57
2023-09-27,125.98,127.48,124.13,125.76,66553400,133.97,136.44,134.96,-1.9,-1.77,34.44,189752900.0,3.72,9.26
2023-09-28,125.98,126.58,123.04,124.04,54555000,132.1,135.98,134.77,-2.3,-1.74,34.44,189752900.0,3.7,8.27
2023-09-29,127.12,129.15,126.32,128.2,62377600,130.77,135.44,134.71,-2.49,-1.55,37.19,252130500.0,3.67,13.09
2023-10-02,129.46,130.47,126.54,127.28,48029700,129.72,135.01,134.7,-2.43,-1.19,42.54,300160200.0,3.68,19.63
2023-10-03,124.72,128.52,124.25,128.06,51565000,128.43,134.38,134.62,-2.73,-1.19,35.88,248595200.0,3.79,17.79
2023-10-04,127.0,127.36,125.68,126.06,44203900,127.6,133.96,134.58,-2.76,-0.97,40.69,292799100.0,3.71,18.26
2023-10-05,125.96,126.73,124.33,126.71,39660600,127.26,133.37,134.53,-2.83,-0.83,39.24,253138500.0,3.64,14.09
2023-10-06,127.96,128.45,124.13,124.16,46795900,127.14,132.85,134.53,-2.69,-0.56,43.41,299934400.0,3.69,21.67
2023-10-09,128.26,128.79,124.76,126.22,38773700,126.84,132.11,134.45,-2.53,-0.32,44.03,338708100.0,3.71,25.9
2023-10-10,129.48,130.74,128.05,128.82,42178600,127.19,131.52,134.36,-2.28,-0.05,46.59,380886700.0,3.64,44.03
2023-10-11,131.83,132.05,129.61,129.74,40741800,127.78,130.87,134.37,-1.87,0.29,51.22,421628500.0,3.56,66.51
