Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-09-19,1932.0,1934.0,1932.0,1934.0,6,1919.49,1922.1,1931.58,-0.35,1.67,55.39,-171503.0,10.39,55.46
2023-09-20,1945.6,1945.6,1929.2,1945.6,119,1922.24,1924.56,1931.86,1.54,2.85,61.5,-171384.0,10.82,70.99
2023-09-21,1919.2,1924.0,1919.2,1924.0,9,1922.41,1924.59,1931.12,0.89,1.76,47.82,-171393.0,11.94,62.27
2023-09-22,1925.4,1925.4,1925.4,1925.4,1,1923.11,1924.95,1930.45,0.87,1.39,50.6,-171392.0,11.53,59.23
2023-09-25,1916.6,1916.6,1916.6,1916.6,114,1922.44,1925.23,1929.58,0.14,0.53,46.79,-171506.0,11.33,39.66
2023-09-26,1900.4,1905.1,1900.4,1905.0,161,1921.35,1924.35,1928.54,-1.73,-1.07,40.71,-171667.0,11.68,28.17
2023-09-27,1871.6,1871.6,1871.6,1871.6,12251,1917.6,1921.11,1926.42,-5.46,-3.85,32.6,-183918.0,12.91,10.64
2023-09-28,1860.4,1878.2,1856.7,1875.5,4654,1912.64,1916.91,1924.08,-9.23,-6.09,30.09,-188572.0,13.52,1.39
2023-09-29,1848.1,1872.3,1846.0,1864.3,1605,1905.08,1912.41,1921.68,-13.05,-7.93,27.58,-190177.0,14.44,2.09
2023-10-02,1830.0,1845.9,1826.7,1844.1,2309,1894.93,1906.92,1918.99,-17.34,-9.77,24.36,-192486.0,14.94,3.02
2023-10-03,1824.6,1830.9,1816.8,1825.0,310,1884.19,1901.84,1916.28,-20.93,-10.69,23.48,-192796.0,14.88,3.65
2023-10-04,1818.5,1828.2,1816.4,1821.8,357,1871.48,1896.86,1913.41,-24.0,-11.01,22.49,-193153.0,14.66,3.49
2023-10-05,1816.6,1826.3,1815.6,1826.3,393,1861.22,1891.81,1910.36,-26.28,-10.63,22.18,-193546.0,14.37,2.82
2023-10-06,1830.2,1831.8,1809.4,1819.0,390,1851.7,1887.4,1908.06,-26.68,-8.82,29.73,-193156.0,14.95,5.89
2023-10-09,1849.5,1861.5,1842.5,1842.5,232,1844.99,1883.71,1905.84,-25.15,-5.84,38.8,-192924.0,16.12,15.16
2023-10-10,1861.0,1861.4,1852.8,1857.0,236,1841.05,1881.2,1903.65,-22.74,-2.75,43.49,-192688.0,15.82,29.73
2023-10-11,1872.8,1874.6,1869.1,1869.5,65,1841.17,1879.38,1902.29,-19.66,0.27,47.89,-192623.0,15.66,42.86
2023-10-12,1869.3,1881.2,1867.0,1874.7,46,1842.06,1877.35,1900.93,-17.3,2.1,46.73,-192669.0,15.55,51.67
2023-10-13,1927.4,1930.1,1877.5,1877.5,43,1849.99,1877.53,1900.84,-10.62,7.03,62.86,-192626.0,18.79,69.43
2023-10-16,1921.1,1921.1,1910.3,1910.4,53,1859.1,1877.01,1900.47,-5.77,9.5,60.71,-192679.0,18.67,82.06
